Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
0001,Albany Med. Ctr,Capital District,Capital District,All PCI,2016,680,17,2.5,1.52,2.03,1.18,3.26,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,338,1,0.3,0.64,0.34,0,1.91,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2010,448,4,0.89,0.89,0.84,0.23,2.16,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,All PCI,2010,1762,11,0.62,0.7,0.75,0.38,1.35,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,All PCI,2010,65,4,6.15,2.41,2.15,0.58,5.5,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2010,338,9,2.66,1.36,1.65,0.75,3.13,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2016,306,3,0.98,1.8,0.68,0.14,1.97,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,All PCI,2016,570,8,1.4,1.09,1.59,0.68,3.13,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,2151,51,2.37,3.09,2.33,1.73,3.06,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2016,456,7,1.54,1.7,1.12,0.45,2.31,Rate not different than Statewide Rate
1178,BronxCare Health System,Bronx,NY Metro - NYC,All PCI,2016,186,2,1.08,1.2,1.11,0.12,4,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2010,405,3,0.74,0.89,0.7,0.14,2.03,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2016,222,4,1.8,2.6,0.86,0.23,2.2,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2016,1545,20,1.29,1.1,1.45,0.89,2.25,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2010,229,1,0.44,0.63,0.59,0.01,3.26,Rate not different than Statewide Rate
